,2025-12-31,2024-12-31,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,-47673175.0,47118288.0,-25021960.0,17368224.0
Tax Rate For Calcs,0.275,0.219,0.248,0.227
Normalized EBITDA,103118291000.0,99949293000.0,97121590000.0,89699087000.0
Total Unusual Items,-173357000.0,215152000.0,-100895000.0,76512000.0
Total Unusual Items Excluding Goodwill,-173357000.0,215152000.0,-100895000.0,76512000.0
Net Income From Continuing Operation Net Minority Interest,49890741000.0,53827384000.0,51589989000.0,48974184000.0
Reconciled Depreciation,24953131000.0,22639474000.0,20577439000.0,19359205000.0
Reconciled Cost Of Revenue,766399989000.0,727034273000.0,675964861000.0,627771101000.0
EBITDA,102944934000.0,100164445000.0,97020695000.0,89775599000.0
EBIT,77991803000.0,77524971000.0,76443256000.0,70416394000.0
Net Interest Income,-9365332000.0,-7904238000.0,-4852035000.0,-5150071000.0
Interest Expense,9115155000.0,8593484000.0,7836519000.0,7049835000.0
Interest Income,1327640000.0,2657187000.0,3021084000.0,2025182000.0
Normalized Income,50016424825.0,53659350288.0,51665862040.0,48915040224.0
Net Income From Continuing And Discontinued Operation,49890741000.0,53827384000.0,51589989000.0,48974184000.0
Total Expenses,932309956000.0,880165508000.0,812463838000.0,750214019000.0
Total Operating Income As Reported,78493750000.0,77358988000.0,73275983000.0,68011617000.0
Diluted Average Shares,17365381483.0,17448098541.0,17458541117.0,17459602139.0
Basic Average Shares,17365381483.0,17448098541.0,17458541117.0,17459602139.0
Diluted EPS,2.873,3.085,2.955,2.805
Basic EPS,2.873,3.085,2.955,2.805
Diluted NI Availto Com Stockholders,49890741000.0,53827384000.0,51589989000.0,48974184000.0
Net Income Common Stockholders,49890741000.0,53827384000.0,51589989000.0,48974184000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,49890741000.0,53827384000.0,51589989000.0,48974184000.0
Minority Interests,0.0,0.0,0.0,
Net Income Including Noncontrolling Interests,49890741000.0,53827384000.0,51589989000.0,48974184000.0
Net Income Discontinuous Operations,0.0,0.0,0.0,
Net Income Continuous Operations,49890741000.0,53827384000.0,51589989000.0,48974184000.0
Tax Provision,18985907000.0,15104103000.0,17016748000.0,14392375000.0
Pretax Income,68876648000.0,68931487000.0,68606737000.0,63366559000.0
Net Non Operating Interest Income Expense,-9365332000.0,-7904238000.0,-4852035000.0,-5150071000.0
Total Other Finance Cost,1577817000.0,1967941000.0,36600000.0,125418000.0
Interest Expense Non Operating,9115155000.0,8593484000.0,7836519000.0,7049835000.0
Interest Income Non Operating,1327640000.0,2657187000.0,3021084000.0,2025182000.0
Operating Income,78493750000.0,77358988000.0,73275983000.0,68011617000.0
Operating Expense,165909967000.0,153131235000.0,136498977000.0,122442918000.0
Other Operating Expenses,1053455000.0,813111000.0,2074787000.0,723099000.0
Depreciation And Amortization In Income Statement,23814609000.0,21531482000.0,,
Depreciation Income Statement,23814609000.0,21531482000.0,,
Selling General And Administration,67774579000.0,62800902000.0,136746969000.0,124693340000.0
Selling And Marketing Expense,7550983000.0,6928259000.0,0.0,
General And Administrative Expense,60223596000.0,55872643000.0,136746969000.0,124693340000.0
Gross Profit,244403717000.0,230490223000.0,209774960000.0,190454535000.0
Cost Of Revenue,766399989000.0,727034273000.0,675964861000.0,627771101000.0
Total Revenue,1010803706000.0,957524496000.0,885739821000.0,818225636000.0
Operating Revenue,1010803706000.0,957524496000.0,885739821000.0,818225636000.0
